"","109009","/clicktt/ByTTV/16-17/verein/109009/SV-Kochel-am-See-e-V-/info","ByTTV","SV Kochel am See e.V.","","","SV Kochel am See e.V. (ByTTV)","",""
"","602009","/clicktt/ByTTV/16-17/verein/602009/SV-Neuhof-an-der-Zenn/info","ByTTV","SV Neuhof an der Zenn","","","SV Neuhof an der Zenn (ByTTV)","",""
"","508033","/clicktt/ByTTV/16-17/verein/508033/SV-Neunkirchen-am-Main/info","ByTTV","SV Neunkirchen am Main","","","SV Neunkirchen am Main (ByTTV)","",""
"","205010","/clicktt/ByTTV/16-17/verein/205010/SV-Saal-a-d-Donau/info","ByTTV","SV Saal a.d. Donau","","","SV Saal a.d. Donau (ByTTV)","",""
"","509001","/clicktt/ByTTV/16-17/verein/509001/TS-Arzberg-1860-e-V-/info","ByTTV","TS Arzberg 1860 e.V.","","","TS Arzberg 1860 e.V. (ByTTV)","",""
"","305017","/clicktt/ByTTV/16-17/verein/305017/TSG-1889-Augsburg-Hochzoll/info","ByTTV","TSG 1889 Augsburg-Hochzoll","","","TSG 1889 Augsburg-Hochzoll (ByTTV)","",""
"","306029","/clicktt/ByTTV/16-17/verein/306029/TSG-Augsburg-1885-e-V-/info","ByTTV","TSG Augsburg 1885 e.V.","","","TSG Augsburg 1885 e.V. (ByTTV)","",""
"","504007","/clicktt/ByTTV/16-17/verein/504007/TSSV-Fuerth-am-Berg/info","ByTTV","TSSV Fürth am Berg","","","TSSV Fürth am Berg (ByTTV)","",""
"","703024","/clicktt/ByTTV/16-17/verein/703024/TSV-1846-Lohr-am-Main/info","ByTTV","TSV 1846 Lohr am Main","","","TSV 1846 Lohr am Main (ByTTV)","",""
"","305027","/clicktt/ByTTV/16-17/verein/305027/TSV-1847-Schwaben-Augsburg-e-V-/info","ByTTV","TSV 1847 Schwaben Augsburg e.V.","","","TSV 1847 Schwaben Augsburg e.V. (ByTTV)","",""
"","306023","/clicktt/ByTTV/16-17/verein/306023/TSV-1868-Aichach/info","ByTTV","TSV 1868 Aichach","","","TSV 1868 Aichach (ByTTV)","",""
"","701002","/clicktt/ByTTV/16-17/verein/701002/TSV-1890-e-V-Alzenau/info","ByTTV","TSV 1890 e.V. Alzenau","","","TSV 1890 e.V. Alzenau (ByTTV)","",""
"","708001","/clicktt/ByTTV/16-17/verein/708001/TSV-1905-e-V-Albertshofen/info","ByTTV","TSV 1905 e.V. Albertshofen","","","TSV 1905 e.V. Albertshofen (ByTTV)","",""
"","603002","/clicktt/ByTTV/16-17/verein/603002/TSV-1924-Ammerndorf/info","ByTTV","TSV 1924 Ammerndorf","","","TSV 1924 Ammerndorf (ByTTV)","",""
"","603001","/clicktt/ByTTV/16-17/verein/603001/TSV-1946-Altenberg-e-V-/info","ByTTV","TSV 1946 Altenberg e.V.","","","TSV 1946 Altenberg e.V. (ByTTV)","",""
"","205001","/clicktt/ByTTV/16-17/verein/205001/TSV-Abensberg/info","ByTTV","TSV Abensberg","","","TSV Abensberg (ByTTV)","",""
"","402023","/clicktt/ByTTV/16-17/verein/402023/TSV-Adlersberg/info","ByTTV","TSV Adlersberg","","","TSV Adlersberg (ByTTV)","",""
"","608030","/clicktt/ByTTV/16-17/verein/608030/TSV-Allersberg/info","ByTTV","TSV Allersberg","","","TSV Allersberg (ByTTV)","",""
"","401001","/clicktt/ByTTV/16-17/verein/401001/TSV-Alteglofsheim/info","ByTTV","TSV Alteglofsheim","","","TSV Alteglofsheim (ByTTV)","",""
"","606001","/clicktt/ByTTV/16-17/verein/606001/TSV-Altenfurt/info","ByTTV","TSV Altenfurt","","","TSV Altenfurt (ByTTV)","",""
"","204001","/clicktt/ByTTV/16-17/verein/204001/TSV-Altenmarkt/info","ByTTV","TSV Altenmarkt","","","TSV Altenmarkt (ByTTV)","",""
"","115001","/clicktt/ByTTV/16-17/verein/115001/TSV-Altenmarkt-Alz/info","ByTTV","TSV Altenmarkt/Alz","","","TSV Altenmarkt/Alz (ByTTV)","",""
"","108001","/clicktt/ByTTV/16-17/verein/108001/TSV-Altenstadt/info","ByTTV","TSV Altenstadt","","","TSV Altenstadt (ByTTV)","",""
"","303026","/clicktt/ByTTV/16-17/verein/303026/TSV-Altenstadt/info","ByTTV","TSV Altenstadt","","","TSV Altenstadt (ByTTV)","",""
