ASV Otterswang,04041,TTVWH
ASV Piding,416060,ByTTV
ASV Rott-Inn,416071,ByTTV
ASV SR Aachen,157012,WTTV
ASV Scheppach-Adolzfurt,07006,TTVWH
ASV Sembach,202,PTTV
ASV Sindelsdorf,312078,ByTTV
ASV St. Augustin,156019,WTTV
ASV Steinach,201025,ByTTV
ASV Suffersheim,104091,ByTTV
ASV Tönisheide,144021,WTTV
ASV Undorf,413084,ByTTV
ASV Vorwärts Rothenburg,1231,STTV
ASV Waldburg,02053,TTVWH
ASV Waldsee,224,PTTV
ASV Wintersdorf,201004,TTTV
ASV Wuppertal,144040,WTTV
ASV Zirndorf,104113,ByTTV
AT Rodenkirchen,4509120,TTVN
ATG Tröstau,208071,ByTTV
ATS Bexhövede,3263230,TTVN
ATS Buntentor,13,FTTB
ATS Cuxhaven,3260180,TTVN
ATS Hohenlimburg-Nahmer,114035,WTTV
ATS Kulmbach 1861 e.V.,206041,ByTTV
ATSV 1892 Tirschenreuth,208069,ByTTV
ATSV Alemannia Aachen,157001,WTTV
ATSV Erlangen,604005,ByTTV
ATSV Espelkamp,186037,WTTV
ATSV Gebirge Gelobtland,4219,STTV
ATSV Habenhausen,21,FTTB
ATSV Kelheim,413034,ByTTV
ATSV Kirchseeon e.V.,311032,ByTTV
ATSV Oberkotzau,206062,ByTTV
ATSV Reichenbach,206070,ByTTV
ATSV Saarbrücken,223,STTB
ATSV Scharmbeckstotel,3307900,TTVN
ATSV Sebaldsbrück,38,FTTB
ATSV Stockelsdorf,70572,TTVSH
ATT Süsterseel,159005,WTTV
ATV 1873 Frankonia Nürnberg e.V.,207072,ByTTV
ATV Frankonia Nürnberg e.V.,606046,ByTTV
ATV Höchstädt 1910,509027,ByTTV
ATV Leipzig-Thekla,3205,STTV
ATV v.1845,0080,HTTV
AV GER. Freib. -St.Georgen,22023,SbTTV
Aachener Interkultureller Familiensportverein e.V.,157041,WTTV
Aggertaler TTC Gummersbach,152009,WTTV
Ahlener SG,177033,WTTV
Akademie d. Wissenschaften,672,BTTV
Akademischer SV Zwickau,4422,STTV
Albig,101,RTTV
Allermöhe, SC,0010,HTTV
Allg. Rather TV Düsseldorf,141051,WTTV
Alstertal-Langenhorn, SC,0030,HTTV
Altengamme, SV,0040,HTTV
Altenwerder, FTV,0045,HTTV
Altländer SC,0050,HTTV
Altona 93,0070,HTTV
Altonaer TV von 1845,0080,HaTTV
Altrahlstedter MTV,1005,HaTTV
Ammelshainer TTV,3101,STTV
Anrather TK RW,147001,WTTV
Austria,AUT-Y0001,Ausland
BC 1921 Nauborn,32045,HeTTV
BC Bliesheim,155024,WTTV
BC Efferen,151025,WTTV
BC Huisheim e.V.,309051,ByTTV
BC Marktlustenau,07044,TTVWH
BC Rinnenthal e.V.,309088,ByTTV
BC Viktoria Glesch-Paffendorf,151001,WTTV
BC Wolfertschwenden,310103,ByTTV
BCF Wolfratshausen,312099,ByTTV
BJC Buchen,203,BaTTV
BSC,616,BTTV
BSC 1920 Aschaffenburg-Schweinheim,101008,ByTTV
BSC 1930 Siebigerode,11917,TTVSA
BSC 1957 Einhausen,41010,HeTTV
BSC 1985 Flörsheim,34010,HeTTV
BSC Berkheim,303035,ByTTV
BSC Blankenheim 1920 (K),11905,TTVSA
BSC Burhafe,4520750,TTVN
BSC Eintracht-Südring,0628,BTTV
BSC Grünhöfe,48,FTTB
BSC Motor Rochlitz,2347,STTV
BSC Rapid Chemnitz,4111,STTV
BSC Rapid Chemnitz e.V.,4111,STTV
BSC Rehberge,0640,BTTV
BSC Surheim,416087,ByTTV
BSC Tauperlitz 1930,206081,ByTTV
BSC Woffenbach e.V.,413089,ByTTV
BSG DURAVIT Hornberg,26009,SbTTV
BSG KEVAG Koblenz,004014,TTVR
BSG Kabelwerk Köpenick,6501,BTTV
BSG Laatzen,2192440,TTVN
BSG Pneumant Fürstenwalde,1104,TTVB
BSG Siemens Regensburg,402009,ByTTV
BSG Sparkasse Koblenz,003781,TTVR
BSG Wesertal Hameln,2184320,TTVN
BSV 04 Bad Berka,113001,TTTV
BSV 19,0090,HTTV
BSV 68 Sebnitz,2429,STTV
BSV 92,664,BTTV
BSV AOK Dresden,2101,STTV
BSV Akademie der Wissenschaften Berlin,0672,BTTV
BSV Bayreuth,508004,ByTTV
BSV Bingum,4440350,TTVN
BSV Blau-Weiß 84 Eisenach e.V.,301018,TTTV
BSV Blumberg,1414,TTVB
BSV Chemie Radebeul,2119,STTV
BSV Chemie Weißensee,674,BTTV
BSV Einheit Frohburg,3113,STTV
BSV Friedrichshafen,02020,TTVWH
BSV GW Wesel-Flüren,146037,WTTV
BSV Hannovera Gleidingen,2192400,TTVN
BSV Holzhausen,4472220,TTVN
BSV KMW,344,RTTV
BSV Kickers Emden,4400110,TTVN
BSV Märkische Bauunion Potsdam,2409,TTVB
BSV München,105016,ByTTV
BSV Neuburg-Donau,414062,ByTTV
BSV Ostbevern,172022,WTTV
BSV Pfaffendorf,002285,TTVR
BSV Roleber,154043,WTTV
BSV Roxel,172013,WTTV
BSV Westfalia Leeden,174015,WTTV
BSV Wiegboldsbur,4371202,TTVN
BTS Neustadt,32,FTTB
BTSC Baumberg,141049,WTTV
BTTC Dahlheim,143017,WTTV
BTTC Grün-Weiß,776,BTTV
BTTC Meteor Berlin,0780,BTTV
BTTF Zweibrücken,235,PTTV
BTV Friesen,17,FTTB
BV 04 Düsseldorf,141036,WTTV
BV 23 Alme,113005,WTTV
BV 23 Alme e.V.,187033,WTTV
BV Borussia 09 Dortmund,112016,WTTV
BV Clusorth-Bramhar,4410670,TTVN
BV DJK Kellen,146004,WTTV
BV Essen,4385200,TTVN
BV Gladbeck-Rentfort,176008,WTTV
BV Neuscharrel,4389440,TTVN
BV Neuss-Weckhoven,142035,WTTV
BV Union 05 Krefeld,147020,WTTV
BVSV Ingolstadt e.V.,102009,ByTTV
BVSV Nürnberg,207074,ByTTV
Bad Doberaner SV 90,720030,TTVMV
Bad Doberaner Sportverein 90,510030,TTVMV
Badenstedter SC,2205100,TTVN
Bahrenfelder SV,0090,HaTTV
Bahrenfelder TV,0100,HaTTV
Baiersdorfer SV,207005,ByTTV
Ball- u. Spielgem Aufbau Eisleben,11908,TTVSA
Ballenstedter TTV Gut Spiel,11702,TTVSA
Ballspielverein 90 Grimmen,570185,TTVMV
Ballspielverein Blau-Weiß 65 Stralsund,50668,TTVMV
Bardenflether TB,4501000,TTVN
Bargenstedter SC,70027,TTVSH
Bargfelder SV,71300,TTVSH
Barkelsbyer SV,70974,TTVSH
Barmbek-Uhlenhorst,0110,HTTV
Barmer TV 1846 Wuppertal,144052,WTTV
Barmstedter MTV,70868,TTVSH
Barsbütteler SV,0120,HTTV
Baruther SV 90,1101,STTV
Bauarbeitersportverein 83 Aschersleben (K),12123,TTVSA
Bayerischer Tischtennis-Verband,000000,ByTTV
Bebertaler SV 90,11405,TTVSA
Beckedorfer SV,2240350,TTVN
Belgium,BEL-ITTF,Ausland
Belziger SG Einheit,2219,TTVB
Bergedorf 85,0130,HTTV
Bergedorf West, SV,0150,HTTV
Bergischer TB Beyenburg,144033,WTTV
Bergstädt. SC Freiberg,2315,STTV
Bergstädt. SV Ehrenfriedersdorf,4213,STTV
Bergstädtischer SC Freiberg e.V.,2315,STTV
Berliner SV 92,0664,BTTV
Berliner Sportclub,71171,TTVSH
Berliner Verkehrs-Betriebe,3900,BTTV
Bernauer TTC,1027,TTVB
Berne, TuS,0170,HTTV
Bertsdorfer SV,1202,STTV
Beschendorfer SV,70554,TTVSH
Betriebs- und FSV Heide,72864,TTVSH
Betriebs-SG Siemens Kabelwerk Schwerin,40632,TTVMV
Betriebssportverband,00017,TTVWH
Bezirk Düsseldorf,101400,WTTV
Bezirk Ortenau,24000,SbTTV
BffL Kaiserslautern,103,PTTV
BffL Salzgitter,1140065,TTVN
Billstedt-Horn, SV,0180,HTTV
Bischlebener SV,105008,TTTV
Blankenese, Komet,0200,HTTV
Blankenese, SPVGG,0210,HTTV
Blau-Weiss Wittorf Neumünster,70384,TTVSH
Blau-Weiß Buchholz,3270950,TTVN
Blau-Weiß Bümmerstede,4460300,TTVN
Blau-Weiß Filsum,4441200,TTVN
Blau-Weiß Hollage,4472160,TTVN
Blau-Weiß Petershagen,31904,BTTV
Blesewitzer SV,750027,TTVMV
Blesewitzer Sportverein,590027,TTVMV
Blexer TB,4501550,TTVN
Blumenthaler TV,10,FTTB
Bollenbacher SV,003064,TTVR
Bonaforther SV,1080520,TTVN
Bonner SC,154015,WTTV
Boocker Sportverein 62,620469,TTVMV
Bookholzberger TB,4451050,TTVN
Borener SV,72137,TTVSH
Bornaer SV 91,3105,STTV
Borussia Düsseldorf,141046,WTTV
Bovender SV,1080560,TTVN
